latitude,longitude,url,Name,Beds,Visitors,Bathrooms,Bedrooms,Amenities,PricePerNight,Total_Price,#_of_Amenities
38.12903,20.58417,https://www.airbnb.gr/rooms/29277966?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,Pegasus Studios -First Floor Studio,3,3,1,0,"['Ζεστό νερό', 'Πλυντήριο ρούχων', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Τηλεόραση', 'Πάρκο/κούνια ταξιδιού', 'Κλιματισμός', 'Πυροσβεστήρας', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Αίθριο ή μπαλκόνι', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Πισίνα', 'Επιτρέπονται κατοικίδια', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπεται το κάπνισμα', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας', 'Ο οικοδεσπότης σας υποδέχεται']",60,597,21
38.14605,20.77982,https://www.airbnb.gr/rooms/53085100?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,"παγκόσμια ελευθερία,διαμερίσματα isalos",2,3,1,1,"['Θέα σε λιμάνι', 'Πιστολάκι μαλλιών', 'Ζεστό νερό', 'Πλυντήριο ρούχων – στο κτίριο: Δωρεάν', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων: γκαρνταρόμπα', 'HDTV 32""', 'Επιτραπέζια παιχνίδια', 'Κλιματισμός', 'Φορητοί ανεμιστήρες', 'Θέρμανση', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Ηλεκτρική εστία', 'Τραπεζαρία', 'Πρόσβαση σε παραλία: Δημόσιο ή κοινόχρηστο', 'Πλυντήριο αυτοεξυπηρέτησης σε κοντινή απόσταση', 'Αίθριο ή μπαλκόνι', 'Πίσω αυλή', 'Επιτρέπονται κατοικίδια', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας']",53,529,27
38.108,20.5215,https://www.airbnb.gr/rooms/49821393?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,Στούντιο για 4 άτομα | Helena Inn,1,4,1,0,"['Είδη πρώτης ανάγκης', 'Τηλεόραση', 'Κλιματισμός', 'Wifi', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Πισίνα', 'Επιτρέπεται το κάπνισμα']",56,557,7
38.1048,20.5864,https://www.airbnb.gr/rooms/31305800?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,Kritamos home,3,3,1,1,"['Πιστολάκι μαλλιών', 'Ζεστό νερό', 'Πλυντήριο ρούχων', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Σίδερο', 'Κλιματισμός', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Κουζίνα', 'Φούρνος', 'Καφετιέρα', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι', 'Πίσω αυλή', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Επιτρέπεται το κάπνισμα', 'Ο οικοδεσπότης σας υποδέχεται']",100,999,23
38.13108,20.49574,https://www.airbnb.gr/rooms/33699633?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,Sunset Beach Apartment,4,4,2,2,"['Πιστολάκι μαλλιών', 'Ζεστό νερό', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Σίδερο', 'Απλώστρα ρούχων', 'Τηλεόραση', 'Κλιματισμός', 'Θέρμανση', 'Πυροσβεστήρας', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Πρόσβαση σε παραλία – Μπροστά σε παραλία', 'Ιδιωτική είσοδος', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπεται το κάπνισμα', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας']",109,1081,23
38.1844,20.41812,https://www.airbnb.gr/rooms/38613227?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,Casa di Angela,3,5,2,2,"['Πιστολάκι μαλλιών', 'Σαμπουάν', 'Ζεστό νερό', 'Αφρόλουτρο', 'Πλυντήριο ρούχων', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Σίδερο', 'Τηλεόραση', 'Κλιματισμός', 'Εσωτερικό τζάκι', 'Θέρμανση', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Πλυντήριο πιάτων', 'Κουζίνα', 'Φούρνος', 'Καφετιέρα: καφετιέρα ""pour-over""', 'Ταψί', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι', 'Πίσω αυλή', 'Ψησταριά μπάρμπεκιου', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Μονώροφο σπίτι', 'Επιτρέπονται κατοικίδια', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας', 'Check-in χωρίς παρουσία οικοδεσπότη', 'Κουτί φύλαξης κλειδιών']",106,1055,35
38.1602,20.4851,https://www.airbnb.gr/rooms/44190652?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,"ΠΕΦΑΝΗΣ STUDIOS #1-LASSI, ΑΡΓΟΣΤΌΛΙ",1,3,1,1,"['Θέα στον κόλπο', 'Πιστολάκι μαλλιών', 'Ντους εξωτερικού χώρου', 'Ζεστό νερό', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Κουρτίνες συσκότισης', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων: γκαρνταρόμπα', 'Κλιματισμός', 'Θέρμανση', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Βραστήρας', 'Πρόσβαση σε παραλία: Δημόσιο ή κοινόχρηστο', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Ιδιωτική πίσω αυλή', 'Έπιπλα εξωτερικού χώρου', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Επιτρέπεται το κάπνισμα']",83,828,28
38.1267,20.6044,https://www.airbnb.gr/rooms/804531601672387991?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,"Διαμέρισμα με 2 κρεβάτια, Τραπεζάκι με θέα",2,3,1,2,"['Πιστολάκι μαλλιών', 'Σαμπουάν', 'Μαλακτικό', 'Αφρόλουτρο', 'Σίδερο', 'Θησαυροφυλάκιο', 'Τηλεόραση', 'Βρεφική κούνια', 'Κλιματισμός', 'Ανιχνευτής καπνού', 'Wifi', 'Ειδικός χώρος εργασίας', 'Κουζίνα', 'Ψυγείο', 'Καταψύκτης', 'Κουζίνα', 'Φούρνος', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Δωρεάν πάρκινγκ στον δρόμο', 'Πισίνα', 'Check-in χωρίς παρουσία οικοδεσπότη', 'Προσωπικό κτηρίου']",136,1355,22
38.12698,20.51297,https://www.airbnb.gr/rooms/50367639?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,Στούντιο Aroma 2,2,3,1,1,"['Θέα στο βουνό', 'Ζεστό νερό', 'Είδη πρώτης ανάγκης', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων: γκαρνταρόμπα', 'Κλιματισμός', 'Θέρμανση', 'Wifi', 'Ψυγείο', 'Πιάτα και μαχαιροπίρουνα', 'Ιδιωτική είσοδος', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Επιτρέπονται κατοικίδια', 'Επιτρέπεται αποθήκευση αποσκευών', 'Check-in χωρίς παρουσία οικοδεσπότη', 'Κουτί φύλαξης κλειδιών']",78,774,17
38.42721,20.56022,https://www.airbnb.gr/rooms/842003098718822986?adults=3&check_in=2023-08-20&check_out=2023-08-30&previous_page_section_name=1000,Country House Mantjourana,3,4,1,2,"['Πιστολάκι μαλλιών', 'Προϊόντα καθαρισμού', 'Σαμπουάν', 'Μαλακτικό', 'Αφρόλουτρο/σαπούνι σώματος', 'Ζεστό νερό', 'Αφρόλουτρο', 'Πλυντήριο ρούχων', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Σίδερο', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων: γκαρνταρόμπα', 'Σύνδεση ethernet', 'Τηλεόραση', 'Προστατευτικά για γωνίες τραπεζιού', 'Κλιματισμός', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Φούρνος μικροκυμάτων', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Καταψύκτης', 'Ηλεκτρική εστία', 'Φούρνος', 'Βραστήρας', 'Καφετιέρα', 'Ποτήρια κρασιού', 'Φρυγανιέρα', 'Ταψί', 'Μίξερ', 'Μαγειρικά σκεύη για μπάρμπεκιου', 'Καφές', 'Τραπεζαρία', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Υπαίθρια τραπεζαρία', 'Κοινόχρηστη ψησταριά μπάρμπεκιου: με κάρβουνο, με ξύλα', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας']",92,915,45
